"round","white","black","result"
1,"Anand","Topalov",1
1,"Giri","Aronian",0.5
1,"Karjakin","Svidler",0.5
1,"Nakamura","Caruana",0.5
2,"Aronian","Anand",0.5
2,"Caruana","Giri",0.5
2,"Karjakin","Nakamura",1
2,"Svidler","Topalov",0.5
3,"Anand","Caruana",0.5
3,"Giri","Karjakin",0.5
3,"Nakamura","Svidler",0.5
3,"Topalov","Aronian",0
4,"Caruana","Topalov",0.5
4,"Karjakin","Anand",1
4,"Nakamura","Giri",0.5
4,"Svidler","Aronian",0.5
5,"Anand","Nakamura",0.5
5,"Aronian","Caruana",0.5
5,"Giri","Svidler",0.5
5,"Topalov","Karjakin",0.5
6,"Anand","Svidler",0.5
6,"Topalov","Giri",0.5
6,"Aronian","Nakamura",1
6,"Caruana","Karjakin",0.5
7,"Svidler","Caruana",0.5
7,"Karjakin","Aronian",0.5
7,"Nakamura","Topalov",1
7,"Giri","Anand",0.5
8,"Svidler","Karjakin",0.5
8,"Caruana","Nakamura",1
8,"Aronian","Giri",0.5
8,"Topalov","Anand",0.5
9,"Topalov","Svidler",0.5
9,"Anand","Aronian",1
9,"Giri","Caruana",0.5
9,"Nakamura","Karjakin",0.5
10,"Svidler","Nakamura",0.5
10,"Karjakin","Giri",0.5
10,"Caruana","Anand",1
10,"Aronian","Topalov",0.5
11,"Aronian","Svidler",0
11,"Topalov","Caruana",0.5
11,"Anand","Karjakin",1
11,"Giri","Nakamura",0.5
12,"Svidler","Giri",0.5
12,"Nakamura","Anand",1
12,"Karjakin","Topalov",1
12,"Caruana","Aronian",0.5
13,"Caruana","Svidler",0.5
13,"Aronian","Karjakin",0.5
13,"Topalov","Nakamura",0
13,"Anand","Giri",0.5
14,"Svidler","Anand",0.5
14,"Giri","Topalov",0.5
14,"Nakamura","Aronian",0.5
14,"Karjakin","Caruana",1
